user,text,place,created_at
Autumn ??,@mirandaplzzzzz fuck it might as well fix my chin while I?m there too,"New York, USA",Wed Mar 27 11:05:47 +0000 2019
MATHIAS BIZIMANA,"@Duvidoo @StevenTDennis @LuluLemew In 2020, #Mitch needs to go","Gatineau, Qu?bec",Wed Mar 27 11:06:18 +0000 2019
Denis,Congratulations Justin!,"North Stormont, Ontario",Wed Mar 27 11:06:21 +0000 2019
"Mike P. ""Ontario Dad"" Moffatt ????????","We've got therapist layoffs across the province, for one reason: the government can't tell service providers if/whe? https://t.co/CaeEd8IRoT","Ottawa, Ontario",Wed Mar 27 11:06:27 +0000 2019
Prophet Jeybro,Lol.,"Ottawa, Ontario",Wed Mar 27 11:06:52 +0000 2019
Pearson,Fire.,"New York, USA",Wed Mar 27 11:06:56 +0000 2019
Kathleen E. Smith,Inhumane to stop this program!  Special athletes matter in special ways we will miss without these competitions &amp; o? https://t.co/Wr0Mce3ycl,"New York, USA",Wed Mar 27 11:06:56 +0000 2019
Geoff Bickerton,"Unifor Local 1688 is correct. The current situation favours UBER at the expense of unionized taxi drivers.
The Otta? https://t.co/5Bj8fgYwX3","Val-des-Monts, Qu?bec",Wed Mar 27 11:07:04 +0000 2019
Wilton Alston,"Ice and Tree Sap? Welcome to March in Rochester. #SMDH @ Rochester, New York https://t.co/Cg8sWBRUW6","New York, USA",Wed Mar 27 11:07:07 +0000 2019
Johnstown XC/T&F,Hurdlers and steeplers weight room at 2:45 then head to the track! Sprinters and distance straight to Knox at 3:15!,"New York, USA",Wed Mar 27 11:07:16 +0000 2019
PHD momma - Latina Teacher #FamiliesBelongTogether,He?s a fucking liar!,"New York, USA",Wed Mar 27 11:07:31 +0000 2019
Prophet Jeybro,"What is this?

@ImagesSultan @bibzyCarter ?","Ottawa, Ontario",Wed Mar 27 11:07:38 +0000 2019
"Mike P. ""Ontario Dad"" Moffatt ????????","If @fordnation's government is so ""Open for Business"" as they claim, why don't they *listen* to businesses, instead? https://t.co/hEMx6EaHkM","Ottawa, Ontario",Wed Mar 27 11:07:39 +0000 2019
